,city,year,old_bikes,new_bikes
0,dc,2010,99,99
1,dc,2011,135,135
2,dc,2012,180,180
3,dc,2013,246,246
4,dc,2014,276,276
5,dc,2015,287,287
6,dc,2016,335,335
7,dc,2017,367,367
8,dc,2018,386,386
9,dc,2019,406,406
10,dc,2020,437,437
11,dc,2021,474,465
12,dc,2022,479,472
13,boston,2011,59,59
14,boston,2012,104,104
15,boston,2013,129,129
16,boston,2014,139,136
17,boston,2015,161,152
18,boston,2016,193,182
19,boston,2017,203,191
20,boston,2018,275,263
21,boston,2019,339,324
22,boston,2020,369,352
23,boston,2021,393,370
24,boston,2022,399,371
25,chicago,2013,300,300
26,chicago,2014,300,300
27,chicago,2015,473,473
28,chicago,2016,562,563
29,chicago,2017,568,569
30,chicago,2018,598,600
31,chicago,2019,601,605
32,chicago,2020,654,664
33,chicago,2021,760,752
34,chicago,2022,762,754
35,nyc,2013,305,305
36,nyc,2014,305,303
37,nyc,2015,435,433
38,nyc,2016,595,585
39,nyc,2017,759,733
40,nyc,2018,800,757
41,nyc,2019,943,877
42,nyc,2020,1203,1108
43,nyc,2021,1524,1402
44,nyc,2022,1557,1404
45,philly,2016,105,105
46,philly,2017,124,124
47,philly,2018,132,130
48,philly,2019,145,141
49,philly,2020,151,142
50,philly,2021,177,148
51,philly,2022,180,163
