GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1580000US2562535017350103,2562535017350103,"Census Tract 3501.03, Middlesex County (part), Somerville city, Massachusetts",520
1580000US2562535017350104,2562535017350104,"Census Tract 3501.04, Middlesex County (part), Somerville city, Massachusetts",2898
1580000US2562535017350200,2562535017350200,"Census Tract 3502, Middlesex County (part), Somerville city, Massachusetts",2763
1580000US2562535017350300,2562535017350300,"Census Tract 3503, Middlesex County (part), Somerville city, Massachusetts",1148
1580000US2562535017350400,2562535017350400,"Census Tract 3504, Middlesex County (part), Somerville city, Massachusetts",2508
1580000US2562535017350500,2562535017350500,"Census Tract 3505, Middlesex County (part), Somerville city, Massachusetts",772
1580000US2562535017350600,2562535017350600,"Census Tract 3506, Middlesex County (part), Somerville city, Massachusetts",1091
1580000US2562535017350700,2562535017350700,"Census Tract 3507, Middlesex County (part), Somerville city, Massachusetts",3116
1580000US2562535017350800,2562535017350800,"Census Tract 3508, Middlesex County (part), Somerville city, Massachusetts",920
1580000US2562535017350900,2562535017350900,"Census Tract 3509, Middlesex County (part), Somerville city, Massachusetts",1648
1580000US2562535017351000,2562535017351000,"Census Tract 3510, Middlesex County (part), Somerville city, Massachusetts",3115
1580000US2562535017351100,2562535017351100,"Census Tract 3511, Middlesex County (part), Somerville city, Massachusetts",2778
1580000US2562535017351203,2562535017351203,"Census Tract 3512.03, Middlesex County (part), Somerville city, Massachusetts",1959
1580000US2562535017351204,2562535017351204,"Census Tract 3512.04, Middlesex County (part), Somerville city, Massachusetts",1927
1580000US2562535017351300,2562535017351300,"Census Tract 3513, Middlesex County (part), Somerville city, Massachusetts",2078
1580000US2562535017351403,2562535017351403,"Census Tract 3514.03, Middlesex County (part), Somerville city, Massachusetts",1678
1580000US2562535017351404,2562535017351404,"Census Tract 3514.04, Middlesex County (part), Somerville city, Massachusetts",1629
1580000US2562535017351500,2562535017351500,"Census Tract 3515, Middlesex County (part), Somerville city, Massachusetts",1172
